Au
electron
inelastic
0.0590073
2659.1	0.58078
2694.6	0.57487
2730.5	0.56908
2766.9	0.56321
2803.8	0.55747
2841.2	0.55166
2879.1	0.54615
2917.5	0.54040
2956.4	0.53495
2995.8	0.52943
3035.8	0.52403
3076.2	0.51858
3117.3	0.51339
3158.8	0.50801
3200.9	0.50288
3243.6	0.49771
3286.9	0.49265
3330.7	0.48754
3375.1	0.48255
3420.1	0.47765
3465.7	0.47272
3511.9	0.46789
3558.8	0.46303
3606.2	0.45828
3654.3	0.45362
3703	0.44893
3752.4	0.44434
3802.4	0.43973
3853.1	0.43521
3904.5	0.43078
3956.6	0.42634
4009.3	0.42199
4062.8	0.41762
4117	0.41334
4171.9	0.40905
4227.5	0.40485
4283.9	0.40073
4341	0.39661
4398.9	0.39247
4457.5	0.38852
4517	0.38446
4577.2	0.38058
4638.2	0.37660
4700.1	0.37279
4762.7	0.36890
4826.2	0.36516
4890.6	0.36134
4955.8	0.35768
5021.9	0.35395
5088.8	0.35036
5156.7	0.34671
5225.5	0.34320
5295.1	0.33962
5365.7	0.33612
5437.3	0.33269
5509.8	0.32926
5583.2	0.32584
5657.7	0.32249
5733.1	0.31921
5809.6	0.31588
5887	0.31268
5965.5	0.30942
6045.1	0.30624
6125.7	0.30311
6207.4	0.30000
6290.1	0.29690
6374	0.29386
6459	0.29084
6545.1	0.28782
6632.4	0.28487
6720.8	0.28193
6810.4	0.27901
6901.3	0.27615
6993.3	0.27330
7086.5	0.27050
7181	0.26773
7276.8	0.26496
7373.8	0.26222
7472.1	0.25953
7571.7	0.25685
7672.7	0.25419
7775	0.25159
7878.7	0.24900
7983.7	0.24643
8090.2	0.24388
8198.1	0.24138
8307.4	0.23889
8418.1	0.23643
8530.4	0.23401
8644.1	0.23158
8759.4	0.22920
8876.2	0.22684
8994.5	0.22449
9114.5	0.22220
9236	0.21989
9359.2	0.21763
9484	0.21539
9610.4	0.21317
9738.6	0.21097
9868.4	0.20881
10000	0.20665
11000	0.20665
20000	0.20665
50000	0.20665
90000	0.20665
